iter	Passed	Remaining
418	3533	683
419	3541	674
420	3551	666
421	3562	658
422	3572	650
423	3583	642
424	3592	634
425	3601	625
426	3610	617
427	3618	608
428	3628	600
429	3637	592
430	3647	583
431	3655	575
432	3665	567
433	3675	558
434	3685	550
435	3694	542
436	3702	533
437	3713	525
438	3721	517
439	3732	508
440	3740	500
441	3750	492
442	3759	483
443	3768	475
444	3778	466
445	3786	458
446	3796	450
447	3805	441
448	3815	433
449	3824	424
450	3833	416
451	3842	408
452	3851	399
453	3861	391
454	3871	382
455	3880	374
456	3890	366
457	3899	357
458	3907	349
459	3915	340
460	3924	331
461	3931	323
462	3939	314
463	3947	306
464	3955	297
465	3963	289
466	3971	280
467	3979	272
468	3986	263
469	3994	254
470	4002	246
471	4010	237
472	4018	229
473	4026	220
474	4034	212
475	4042	203
476	4050	195
477	4058	186
478	4066	178
479	4074	169
480	4082	161
481	4090	152
482	4098	144
483	4107	135
484	4114	127
485	4123	118
486	4130	110
487	4138	101
488	4147	93
489	4155	84
490	4163	76
491	4171	67
492	4179	59
493	4187	50
494	4195	42
495	4205	33
496	4213	25
497	4221	16
498	4229	8
499	4237	0
