iter	RMSE
276	104709.8647
277	104620.179
278	104532.5233
279	104449.2186
280	104288.3997
281	104187.9618
282	104104.1821
283	104021.9183
284	103960.3544
285	103924.6009
286	103832.2026
287	103627.6889
288	103569.7746
289	103476.6834
290	103429.2171
291	103285.0653
292	103180.6206
293	103064.9021
294	102959.5364
295	102936.6453
296	102924.7396
297	102826.5255
298	102760.544
299	102717.1503
300	102600.4737
301	102578.1496
302	102481.508
303	102396.6305
304	102291.519
305	102159.1474
306	102085.9665
307	102001.2398
308	101953.0968
309	101874.8004
310	101792.4319
311	101727.7776
312	101622.5054
313	101523.1087
314	101432.173
315	101340.7803
316	101268.1987
317	101206.6749
318	101104.5049
319	101025.2373
320	100928.2976
321	100847.4349
322	100784.9884
323	100700.0212
324	100625.4121
325	100546.2368
326	100493.3648
327	100421.3431
328	100343.4259
329	100256.0922
330	100144.4137
331	100056.6849
332	99999.80548
333	99906.73738
334	99826.50788
335	99758.02756
336	99615.66823
337	99549.27038
338	99483.15141
339	99427.34006
340	99339.72292
341	99307.92586
342	99222.9363
343	99155.36033
344	99038.21959
345	98986.41942
346	98912.33715
347	98870.90225
348	98787.14439
349	98660.93753
350	98587.98813
351	98486.2795
352	98434.62776
353	98384.58331
354	98279.82133
355	98217.38551
356	98120.50137
357	98078.93488
358	97996.45866
359	97926.16265
360	97865.21762
361	97818.24822
362	97748.25943
363	97667.95627
364	97588.39456
365	97499.78983
366	97441.93348
367	97374.49835
368	97327.58277
369	97249.57502
370	97186.95947
371	97149.42062
372	97033.80604
373	96958.02468
374	96873.79149
375	96804.91776
376	96739.4118
377	96633.28622
378	96578.89052
379	96497.3548
380	96446.33762
381	96377.06635
382	96324.42713
383	96293.3807
384	96233.79817
385	96133.57183
386	96049.42805
387	95943.36834
388	95807.24638
389	95704.33732
390	95595.42425
391	95514.1058
392	95463.59652
393	95406.54416
394	95341.01003
395	95291.20357
396	95240.8567
397	95150.38599
398	95023.73591
399	94961.90449
400	94889.50762
401	94799.89068
402	94746.33873
403	94664.89929
404	94593.57788
405	94518.33766
406	94451.09302
407	94357.31386
408	94300.54523
409	94209.88398
410	94167.69256
411	94100.33798
412	94064.86967
413	93979.92381
414	93917.62139
415	93806.90238
416	93738.65952
417	93684.99455
418	93637.32632
419	93552.683
420	93514.05011
421	93422.21413
422	93379.10496
423	93342.94863
424	93284.01322
425	93228.16102
426	93198.96859
427	93169.81072
428	93108.8839
429	93038.1195
430	92973.39362
431	92952.239
432	92887.98517
433	92847.76682
434	92785.27217
435	92725.31307
436	92650.08536
437	92552.60258
438	92482.08428
439	92346.50609
440	92267.81821
441	92165.49707
442	92084.99523
443	92044.22193
444	92007.51494
445	91916.9543
446	91881.93394
447	91827.58885
448	91769.26398
449	91724.96176
450	91665.44258
451	91616.48037
452	91526.55649
453	91400.84075
454	91306.34113
455	91246.98857
456	91192.89626
457	91047.931
458	90978.35213
459	90940.72977
460	90910.49578
461	90861.39889
462	90824.0266
463	90754.97143
464	90631.28465
465	90566.68423
466	90537.06562
467	90455.69144
468	90424.46165
469	90325.36108
470	90268.16829
471	90217.5004
472	90131.92451
473	90062.11034
474	90020.82964
475	89955.34987
476	89850.01298
477	89764.00778
478	89753.5433
479	89656.99329
480	89591.11047
481	89477.07144
482	89381.65985
483	89339.65564
484	89291.24908
485	89233.28193
486	89186.6635
487	89130.57766
488	89114.13428
489	89077.33158
490	89038.34407
491	88977.94493
492	88913.07514
493	88845.90161
494	88801.46595
495	88794.05543
496	88738.06064
497	88687.2498
498	88607.4474
499	88543.81792
